Cmdline: /system/bin/simpleperf record --app com.paifa.ubikitouch --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --duration 9 -f 400 -g
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4560
Event count: 22316617954

Children  Self   Command               Pid    Tid    Shared Object                                                                                               Symbol
13.30%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ThreadedRenderer.draw
12.84%    0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.AndroidUiDispatcher$dispatchCallback$1.doFrame
12.53%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.View.updateDisplayListIfDirty
12.50%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ThreadedRenderer.updateRootDisplayList
12.50%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ThreadedRenderer.updateViewTreeDisplayList
12.30%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ViewGroup.dispatchGetDisplayList
12.30%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ViewGroup.recreateChildDisplayList
12.00%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.View.draw
11.60%    0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.AndroidComposeView.dispatchDraw
11.39%    0.10%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    skgpu::v1::OpsTask::onExecute(GrOpFlushState*)
8.97%     0.06%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith
8.88%     0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    android::uirenderer::skiapipeline::SkiaPipeline::renderFrame(android::uirenderer::LayerUpdateQueue const&, SkRect const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode> > > const&, bool, android::uirenderer::Rect const&, sk_sp<SkSurface>, SkMatrix const&)
8.66%     0.03%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.AndroidUiDispatcher.performTrampolineDispatch
8.66%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.AndroidUiDispatcher.access$performTrampolineDispatch
8.47%     0.15%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             kotlinx.coroutines.DispatchedTask.run
8.33%     0.35%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    android::uirenderer::DisplayListData::draw(SkCanvas*) const
8.33%     0.20%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    android::uirenderer::skiapipeline::RenderNodeDrawable::forceDraw(SkCanvas*) const
8.33%     0.15%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    SkDrawable::draw(SkCanvas*, SkMatrix const*)
